,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,,909,681,704,809,848,1576,2129,2454,3550,4397
eps,,-0.31,0.15,0.12,0.19,-0.03,0.29,0.55,0.78,0.85,1.1
shares_outstanding,,505,532,536,553,567,636,638,639,639,638
current_assets,541,396,331,365,464,701,898,875,1195,1352,1733
current_liabilities,439,486,178,205,217,372,442,549,653,1018,1041
total_liabilities,824,654,521,509,498,407,2301,1912,1947,4114,4193
equity,192,154,188,252,375,706,917,1076,1346,1733,2144
ppe,,63,53,58,45,90,140,193,214,270,317
operating_cash_flow,,141,-163,108,98,159,438,681,799,934,1086
historical_dividends,,0.15,0.04,0.04,0.09,0.16,0.16,0.19,0.29,0.39,0.49
lt_debt,333,127,299,261,237,0,1779,1287,1199,2880,2792
share_price,,4.2,3.18,2.59,3.76,4.95,7.45,9.88,15.87,24.3,33
