,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,53,45,54,66,75,104,126,144,188,241
eps,-0.14,-0.07,0.06,0.01,0.11,0.97,0.24,0.28,0.39,0.58
shares_outstanding,89,98,98,103,109,123,129,129,130,131
current_assets,20,18,27,35,49,110,94,104,129,187
current_liabilities,22,22,27,35,40,54,62,74,86,103
total_liabilities,23,23,34,45,49,65,88,92,110,133
equity,9,4,9,5,8,158,176,182,207,263
lt_debt,,,,,,,,,,
ppe,2,1,1,1,1,,4,6,5,7
operating_cash_flow,4,3,8,13,20,27,19,47,66,99
historical_dividends,,,,0.08,0.12,,0.18,0.21,0.25,0.3
share_price,0.27,0.14,0.18,1,2.54,3.3,5.68,7.48,19.87,26.17
