,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,421,394,408,469,540,527,576,606,652,760
eps,0.17,0.24,0.35,0.38,0.37,0.36,0.39,0.41,0.45,0.52
shares_outstanding,131,130,130,130,130,130,130,130,130,130
current_assets,152,156,193,248,247,255,259,301,316,368
current_liabilities,74,75,80,118,98,103,108,117,109,143
total_liabilities,89,90,101,137,123,130,124,158,162,199
equity,150,154,177,201,213,231,246,260,283,310
lt_debt,4,0,6,11,24,22,10,36,45,47
ppe,6,6,5,9,13,23,14,19,19,28
operating_cash_flow,57,47,51,37,51,46,52,63,89,60
historical_dividends,0.08,0.15,0.2,0.26,0.26,0.27,0.28,0.3,0.32,0.35
share_price,1.58,3.33,3.2,5.55,9.74,6.98,6.75,9.41,13.04,12.87
