,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,123,153,184,215,236,312,344,372,444,417
eps,0.19,0.24,0.31,0.35,0.4,0.43,0.45,0.45,0.76,0.35
shares_outstanding,234,239,235,237,239,240,241,242,243,244
current_assets,30,53,71,46,61,68,75,89,134,192
current_liabilities,25,29,33,90,51,49,58,66,323,78
total_liabilities,25,30,34,91,217,263,285,262,575,601
equity,89,109,128,153,187,230,260,277,336,322
lt_debt,,,,,165,212,225,191,209,474
ppe,2,3,8,3,2,2,4,3,9,9
operating_cash_flow,50,60,74,89,101,102,120,125,119,132
historical_dividends,0.07,0.18,0.22,0.26,0.3,0.34,0.36,0.38,0.42,0.44
share_price,4.85,4.94,5.28,9.08,10.69,10.3,11.76,11.13,14.3,14.16
