,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,3220,3374,3693,3919,4134,4909,7320,8648,8667,9137,11513
eps,,0.69,0.9,1.12,1.24,1.43,1.84,2.16,2.35,1.86,2.63
shares_outstanding,,204,210,203,202,203,203,202,206,203,205
current_assets,626,799,787,749,980,890,1654,1843,1960,2372,2918
current_liabilities,620,731,728,810,794,923,2171,1994,1902,1999,2656
total_liabilities,2278,2352,2248,2180,2521,2807,5784,6218,5977,6865,9510
equity,909,1224,1304,1406,1542,1744,1833,2046,2359,2447,3023
lt_debt,1403,1291,1205,1019,1226,1320,2504,3131,3078,3622,5209
ppe,,175,215,222,266,246,486,510,430,474,594
operating_cash_flow,,337,431,434,450,561,746,905,882,995,903
historical_dividends,,0.4,0.48,0.55,0.64,0.76,0.92,1.08,1.25,1.39,1.47
share_price,12.55,17.38,18.16,30.58,48.97,63.8,62.3,70.01,67.29,60.67,77.48
