,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,735,810,779,753,805,926,1131,1254,1364,1427
eps,2.74,3.16,1,2.32,1.64,2.55,3.3,3.89,4.27,4.8
shares_outstanding,57,57,57,57,57,57,57,57,58,58
current_assets,448,430,374,405,421,489,543,586,584,635
current_liabilities,213,223,262,192,170,403,251,347,288,360
total_liabilities,313,238,318,408,460,514,509,593,546,653
equity,438,503,385,357,329,355,449,544,611,726
lt_debt,83,3,20,167,234,45,189,134,144,178
ppe,92,91,37,50,32,28,38,62,50,115
operating_cash_flow,180,201,168,70,111,189,185,260,258,296
historical_dividends,1.9,2.1,2.4,2.5,2.54,2.17,2.1,2.5,2.8,3.15
share_price,75.15,78,62.9,63.6,57.84,88,105.5,139.41,182.54,181
