,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,39,32,46,65,78,109,196,260,323,369,447
eps,,0.05,0.13,0.16,0.16,0.19,0.28,0.43,0.53,0.71,0.79
shares_outstanding,,73,64,75,79,85,95,99,104,107,109
current_assets,,15,28,38,42,135,199,254,285,341,478
current_liabilities,,12,19,28,32,105,165,237,274,291,368
total_liabilities,,14,20,31,48,115,204,299,339,333,411
equity,,30,38,53,73,133,236,272,401,471,592
ppe,,,1,3,4,2,3,8,14,14,27
operating_cash_flow,,3,12,7,16,12,24,70,69,94,133
historical_dividends,,,,0.08,0.1,0.1,0.13,0.19,0.27,0.33,0.39
lt_debt,,,,,,,,23,27,29,20
share_price,,1.83,2.19,3.81,5.27,11.87,11.76,17.69,25.99,27.73,8
