,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,28,40,45,46,67,128,160,167,174,176
eps,0,0,0.02,0.02,0.04,0.05,-0.01,0.02,0.03,-0.1
shares_outstanding,59,58,58,70,89,110,118,130,165,160
current_assets,5,9,13,11,23,45,38,37,52,43
current_liabilities,5,8,9,10,18,42,48,35,34,27
total_liabilities,5,8,10,16,32,69,66,48,57,47
equity,6,6,11,15,34,53,52,71,76,62
lt_debt,0,0,0,3,10,12,3,9,20,17
ppe,0,1,3,8,6,11,15,11,9,11
operating_cash_flow,1,2,-1,6,5,5,13,10,16,8
historical_dividends,0.01,,,,0.01,0.01,,,,
share_price,0.08,0.22,0.33,0.6,0.61,0.84,0.39,0.45,0.46,0.4
