,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,2731,2959,3128,3308,3484,3652,3954,5628,6854,7095
eps,1.07,1,1.05,1.16,1.25,1.35,1.5,1.53,2.01,2.15
shares_outstanding,111,110,100,101,102,101,101,113,116,116
current_assets,455,501,534,564,578,617,703,1171,1211,1211
current_liabilities,363,346,439,442,352,380,447,886,917,927
total_liabilities,421,615,627,599,565,552,588,1599,1544,1505
equity,293,152,185,244,295,343,405,854,948,1044
lt_debt,35,233,150,124,180,139,110,559,469,439
ppe,57,45,46,35,36,42,52,49,54,59
operating_cash_flow,152,110,215,156,41,180,185,191,292,302
historical_dividends,0.61,0.8,0.77,0.65,0.76,0.87,0.93,1.09,1.32,1.37
share_price,19.69,19.14,11.63,12.55,18.47,17.24,21.96,26.25,27.22,27.4
