,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,23,26,28,42,68,78,70,96,119,146
eps,0.11,0.14,0.12,0.08,0.12,0.16,0.18,0.27,0.5,0.53
shares_outstanding,24,24,24,61,61,63,64,63,64,64
current_assets,20,31,19,39,30,31,40,40,43,42
current_liabilities,30,13,4,16,18,7,18,28,62,39
total_liabilities,33,57,65,56,65,66,91,111,154,209
equity,27,36,40,81,95,114,131,156,205,255
ppe,0,3,0,0,1,1,1,1,2,3
operating_cash_flow,2,1,-8,0,9,16,-14,18,21,6
historical_dividends,,,0.05,0.05,,,0.03,0.03,0.04,0.05
lt_debt,0,37,51,28,31,37,46,47,40,100
share_price,3.34,8.37,9.29,13.76,11.86,11.17,12.98,10.48,17.55,15.35
