,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,41,39,39,40,48,49,50,62,63,62
eps,0.02,0.03,0.04,0.04,0.06,0.05,0.06,0.09,0.08,0.1
shares_outstanding,121,121,110,101,94,91,92,92,92,95
current_assets,27,21,24,26,25,32,25,31,38,48
current_liabilities,24,15,16,17,19,22,19,22,28,36
total_liabilities,25,15,19,19,21,26,20,25,30,47
equity,15,16,12,14,12,16,18,21,25,30
lt_debt,0,0,0,0,0,0,0,0,0,0
ppe,0,0,0,1,0,0,0,4,2,1
operating_cash_flow,4,5,9,7,6,8,-2,10,11,23
historical_dividends,0.02,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.05
share_price,0.24,0.22,0.47,0.44,0.65,1.3,1.6,2.2,2.6,6.15
