,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,12667,14280,15234,15577,15155,15532,15784,15680,16628,17597
eps,0.05,0.12,-0.12,0,-1.37,0.27,0.49,0.46,0.56,0.54
shares_outstanding,2127,2127,2127,2112,2077,2062,2083,1853,1756,1638
current_assets,5832,5641,5460,5245,4932,5049,3458,3119,3712,4193
current_liabilities,6241,6235,7118,6370,7525,7470,7028,7095,7596,8576
total_liabilities,13929,14707,15289,14246,14452,14083,13445,13681,14688,15941
equity,5981,6151,5889,5954,2866,3447,3260,3540,3959,3436
lt_debt,4660,5047,4780,4612,4195,3386,3055,3144,3165,3477
ppe,1688,2407,2221,1247,1161,1359,1618,1368,1959,1944
operating_cash_flow,1351,1782,1810,1417,1069,2048,2819,2704,3413,2807
historical_dividends,,,,,,,,0.14,0.14,0.22
share_price,2.81,2.48,1.79,1.75,1.35,2.9,3.9,3.7,5.65,2.86
