,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,194,238,278,336,437,523,630,671,867,941
eps,0.4,0.53,0.66,0.83,1.14,1.59,1.92,1.56,1.92,0.8
shares_outstanding,128,129,131,132,132,132,132,132,132,132
current_assets,120,176,224,311,320,159,223,458,284,307
current_liabilities,43,49,45,73,101,100,233,379,305,445
total_liabilities,46,51,50,80,110,112,768,774,782,676
equity,139,197,251,315,408,558,716,805,941,905
lt_debt,0,0,0,0,0,0,492,359,310,70
ppe,13,21,30,22,26,42,40,54,59,68
operating_cash_flow,61,76,97,145,184,191,221,297,326,364
historical_dividends,0.1,0.26,0.29,0.37,0.48,0.65,0.77,0.86,0.98,1.17
share_price,10.27,11.8,13.23,26.7,49.44,48.82,49.91,56.8,77.94,92
