,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,942,1005,1109,1263,1423,1582,1807,1991,2220,2457
eps,0.67,0.8,0.88,1,1.13,1.23,1.37,1.63,1.84,2.2
shares_outstanding,71,73,72,71,71,71,71,71,72,72
current_assets,74,114,112,122,146,148,134,200,257,345
current_liabilities,108,112,136,159,176,216,257,280,330,385
total_liabilities,239,203,245,261,284,328,356,422,479,509
equity,423,499,496,531,594,615,677,758,851,961
ppe,46,45,80,87,111,125,173,165,162,156
operating_cash_flow,76,91,95,110,118,130,145,172,186,188
historical_dividends,,,0.32,0.36,0.48,0.6,0.68,0.76,0.84,1
lt_debt,101,52,62,51,51,51,26,52,52,2
share_price,16.83,16.82,18.85,26.26,37.66,42.39,42.22,57.47,62.52,69
