,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
revenue,17,13,20,25,23,22,21,21,22,24,29
eps,,0,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.03
shares_outstanding,,92,104,127,131,132,132,133,134,134,134
current_assets,9,9,9,15,15,13,13,12,11,13,16
current_liabilities,2,2,4,4,2,2,2,2,2,5,6
total_liabilities,2,2,5,4,2,2,2,3,4,6,8
equity,15,15,19,27,29,29,30,30,31,32,34
lt_debt,0,0,1,0,0,0,0,1,1,1,2
ppe,,1,1,1,1,1,1,3,2,2,1
operating_cash_flow,,1,3,4,4,3,4,0,0,1,4
historical_dividends,,0.01,0,0.01,0.02,0.02,0.02,0.01,0,0,0
share_price,,0.19,0.27,0.36,0.27,0.21,0.17,0.17,0.2,0.16,0.25
